Name,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other perimeter focal point,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other interior feature,part of complex,other outside feature,diam 1,diam 2,diam 3,diam 4
Druidskinny,y,,,,,,,y,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,y,y,,,y,,,
Duddo,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Dumpit Hill,y,,,,,,?,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Easthill,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Elva Plain,y,,,,,,,y,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,
Ewden Beck,,y,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Eynam Moor III,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Eynam Mor II,,,y,,,,?,,,,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
Faskally  Cottages,y,,,,,,y,,,,,,,,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Fernacre,,?,,,,,,y,,?,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
Five Strnes,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Fowlis Wester West,y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
Gamelsnds,y,,,,,,?,,,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Gaythorn Plain 2,,y,,,,,,,?,,,,,,,,,,,,,,,y,,,,,,,,,,?,,,,,,?,,,,,y,,,
Gellin Hill,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Gibbet Moor,,y,,,,,,,,y,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Girdlestanes,,?,,,,,,?,,,,,?,,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,,?,,,y,,
Glasell,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
Glenquickan,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
Glentirow,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,?,,y,,,
Gors Faswr,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,y,,y,,,
Grey Coft/Secsle,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,
Grubstonems,,y,,y,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Guidbest,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
Gunnerkeld,y,,,,,,,y,,,,,,,,,,,,?,,,,?,,,,y,,,,,,,,,,,,,,,,,,y,,
Hafodty,y,,,,,,?,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,
Hengwm,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
Hmpton Down,,,?,,,,?,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
Hoarstones,?,?,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,?,?,,,,,,,,,,,,y,,,
Hough NE,y,,,,,,y,,,,,,,,,,?,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,y,,
Howe Well,y,,,,,,y,,,,,,,?,,,y,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,y,,,
Hurlers centrall,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,y,y,,,,y,
Hurlers N,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,y,y,,,y,,
Hurlers S,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,?,y,,y,,,
Innismill,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Iron Hill N,y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
Kerry Hill,y,,,,,,y,,,,,,,,,,,,,,,,,?,,?,,,,,,y,,,,,,,,,,,,,y,,,
Killin Park,y,,,,,,y,,,,,,,,,,y,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,
King Arthur's Down NW,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
King Arthur's Down SE,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Kingarth,y,,,,,,?,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Kingston Rusell,y,,,,,,y,,,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Kirkhill,y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Lochbuie,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,y,?,,y,,,
Lairdmannoch,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
Lear Abele Hill,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Leazed,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Lecet Hill,,,,,y,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
Led Croen Yr Ych,y,,,,,,y,,,,,,,?,,,y,,,,,,,,y,,,,,,,,,,,,,?,,,,,,,y,,,
Leskernick,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Letterson III,,y,,,,,?,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,y,,,
Letterstn III,,,,,,,,,?,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,y,,
Little Meg,y,,,,,y,?,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,y,,y,,,
Llecheidor,,y,,,,,,,,,,?,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Llyn Y Tawr,y,,,,,,,,?,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Llynywrach,,y,,,,,,?,,y,,,,,,,,,,y,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Long Meg,y,,,,,,,y,,,,,,,,,,,y,,,,,?,y,,,,,,,,,,,,y,,,,,,y,,,,,y
Loupin Stsnes,y,,,,,,y,,,,,,,,y,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,?,,y,,,
Lowlongrigg NE,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
Lowlongrigg SW,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
Lundin Links,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Machrie Moor 1,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Machrie Moor 10,y,,,,,,?,,,,,,,,,,y,,,,,,,,,,,?,,,,,,,,,,,,,,,y,,y,,,
Machrie Moor 2,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Machrie Moor 4,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Machrie Moor 4,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Machrie Moor 5,y,,,,,,y,,,,,,,,?,,?,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,
Machuinn,y,,,,,,y,,,,,,,,y,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
Mchrie Moor 3,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Meini Gwyr,,y,,,,,?,,,y,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Merryt Maidens,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Millin Bay,,?,,,,,,,,?,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,y,,,
Moel Goedog  East,,y,,,,,?,,,y,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,?,,,,,y,,y,,,
Moel Goedog  West,,y,,,,,?,,,y,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,?,,,,,y,,y,,,
Moel Ty Uchaf,y,,,,,,,,y,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
Moncreiffe,?,,,?,,,y,,,,,,,,,,,,,,?,,,,,?,,,,,,?,,,,,y,?,,,,,,,y,,,
Moseley Height,,,,,,y,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,,,,,,,,,y,,,
Murthly Hospital,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Mynydd Y Gelli,,y,,,,,,,,?,,,?,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,?,,y,,,
Na Clachan Breige,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Nant Tawr East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,y,,,
Nant Tawr West,y,,,,,,y,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,?,,,,,,y,,y,,,
Nine Ladies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Nine Stoines,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
Ninestoineclose/Grey Ladies,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Oddendale,y,,,,,,,y,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,y,y,,y,,,
Offerton Moor,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Park Gate,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
Pen Y Beachdn,y,,,,,,?,,,,,,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Penhurrock,y,,,,,y,,?,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,y,,,
Penmarnmawr,y,,,,,,,,,,,,y,,,,,y,,,,,,,y,,,,,,,,,,,,?,,,,,,?,,y,,,
Rempstone,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Rhds Maen,y,,,,,,,y,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Rhyds Y Beddau,y,,,,,,y,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,y,,,,y,,,
Rollright Stones,y,,,,,,,,y,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,y,,,,,y,y,,,y,,
Sandy Road W,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,?,?,,y,,,
Seven Brethren,y,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Seven Stones of Horden,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Shapbeck,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,
Sheldon,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,?,,,,,,,,,,y,,,,,,,,y,,,
Shian Bank SE,y,,,,,,?,,,,,,,,,,?,,,,,,,?,,?,,,,,,,,,,,,,,,,,y,,y,,,
Simonburn,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Six Stones,y,,,,,,?,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Smelting Hill,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
South Ytsie,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
St. Colmac’s Cottages,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,?,,y,,,
Standing stones,y,,,,,,,,,,,,,,y,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
Stanton,y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Stripple Stones,,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,
Strointollier 1,y,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,y,,,,,,y,,y,,,
Strontoiller,y,,,,,,,y,,,,,,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,?,,y,,,
Studfoldgate,y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Sunbrick concentric,y,,,,,,y,,,,,,,?,,,y,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,y,,,
Swinside,y,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
The Beacon/Knapperthaw,,y,,,,,,,,?,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
The Devil's Quoits,,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y
The Kirk,,y,,,,,y,,,?,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,y,,,,,y,,,
Threaplnds,y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Tigh Na Ruaich,y,,,,,,y,,,,,,,,,,,?,,,?,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Torhoukie,y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,y,,,,,,,,y,,y,,,
Trecastle Mountain NE,y,,,,,,,?,,,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Tregeseal  E,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Tregesseal W,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Trippet Stones,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Tunstead/Cadtser,,y,,,,,,,,,,?,,,,,,y,,,,,,,,,,,,,,,,,,,?,,,,,,,,y,,,
Twelve  Apostles,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,y
Twelve Apostles,,?,,?,,,y,,,?,,,,,,,y,,,,,,,,,,?,,,,,,,,,,,,,,,,,,y,,,
Wendron SD,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Wester Torrie,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Wet Withers,,y,,,,,,,,y,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,y,,
Whitcastles,y,,,,,,y,,,,,,,y,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,y,
White Hag,y,,,,,,y,,,,,,,y,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
White Moss NE,y,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
White Moss NW,y,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
Winterbourne Bassett,y,,,,,,,,?,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,?,,,y,,
Woodside,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Y Capel,y,,,,,,,,?,,,,,,,,?,,,,,,,,?,,,,,,,,,,,,,,,,,,?,,y,,,
Arbor Low,,,y,,,,y,,,,,,,y,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,
Cairnwell,y,,,,,,?,,,,,,,,,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,
Castleruddery,y,,,,,,,,y,,,,,,,,,y,,y,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Coate,y,,,,,,?,,,,,,,y,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y
Dun Ruadh,,y,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,
Loch Buie,y,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,,,,,,y,,
Nine Stones,y,,,,,,y,,,,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,,
Ring of Brodgar,,,y,,,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y
Stonehenge,,,y,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,y,y,,,,y,,,,,,,
Stones of Stenness,,,y,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,
Druids Altar,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
Templewood,,,,,,y,,,,,,,,y,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sanctuary,y,,,,,y,y,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,y,,,
